"Kontonr."	"Kontonavn"	"Type"	"Moms"	"Afd."	"Sum fra"	"Sum til"
57000	"Likvider"	"Tekst"				
58000	"Bank"	"Status"				
58001	"Kassekonto Nord"	"Status"				
58002	"Kassekonto Syd"	"Status"				
58010	"Mellemregning Peter"	"Status"				
58020	"Mellemregning Claus"	"Status"				
58050	"Hens&aelig;ttelseskonto"	"Status"				
58995	"Likvide beholdninger"	"Sum"			58000	58995
						
58997	"OMS&AElig;TNINGSAKTIVER IALT"	"Sum"			56000	58997
		"Tekst"				
59999	"AKTIVER IALT"	"Sum"			50000	59999
						
60000	"P A S S I V E R"	"Tekst"				
						
60001	"EGENKAPITAL"	"Tekst"				
60500	"Egenkapital"	"Status"				
60800	"&Aring;rets resultat"	"Status"				
60900	"Overf&oslash;rt fra tidligere &aring;r"	"Status"				
62000	"Mellemregning"	"Status"				
62010	"B-skat"	"Status"				
62020	"Restskat"	"Status"				
62995	"Egenkapital i alt"	"Sum"			60000	62995
						
63000	"KORTFRISTET G&AElig;LD"	"Tekst"				
63001	"L&oslash;n"	"Tekst"				
63100	"Nettol&oslash;n"	"Status"				
63110	"A conto-udbetaling af l&oslash;n"	"Status"				
63150	"Skyldig A-skat, personale"	"Status"				
63160	"Skyldigt arbejdsmarkedsbidrag"	"Status"				
63170	"Skyldig ATP"	"Status"				
63190	"Skyldige feriepenge"	"Status"				
63195	"L&oslash;n i alt"	"Sum"			63000	63195
						
64400	"Forudbetalt fra kunder"	"Status"				
64495	"Forudbetalinger i alt"	"Sum"			64400	64495
						
65100	"Kreditorer, ubetalte regninger"	"Status"				
65200	"Kreditor efterpostering"	"Status"				
65995	"Kreditorer i alt"	"Sum"			65000	65995
						
66000	"Moms"	"Tekst"				
66100	"Salgsmoms (udg&aring;ende moms)"	"Status"				
66150	"Moms af varek&oslash;b mv. i udlandet"	"Status"				
66200	"K&oslash;bsmoms (indg&aring;ende moms)"	"Status"				
66300	"Elafgift"	"Status"				
66900	"Momsafregning"	"Status"				
66995	"Moms i alt"	"Sum"			66000	66995
						
69999	"KORTFRISTET G&AElig;LD IALT"	"Sum"			63000	69995
						
70000	"PASSIVER IALT"	"Sum"			60000	70000
						
99995	"Ukendte poster"	"Status"				
99999	"Balancekontrol"	"Sum"			1	99999
