17500	"FINANSIELLE INDTÆGTER"	"Overskrift"			
17510	"Renter pengeinstitutter"	"Drift"			
17520	"Debitorrenter"	"Drift"			
17597	"FINANSIELLE INDTÆGTER I ALT"	"Total"	17500		
17600	"FINANSIELLE UDGIFTER"	"Overskrift"			
17610	"Renter pengeinstitutter"	"Drift"			
17620	"Kreditorrenter"	"Drift"			
17640	"Andre renteudgifter"	"Drift"			
17650	"Periodeafgrænsning"	"Drift"			
17660	"Kursdifferencer"	"Drift"			
17670	"Øredifferencer"	"Drift"			
17697	"FINANSIELLE UDGIFTER I ALT"	"Total"	17600		
19997	"RENTER I ALT"	"Total"	17500		
19999	"PERIODENS RESULTAT"	"Total"	10000		
20000	"STATUS"	"Sideskift"			
20001	"STATUS"	"Sideskift"			
24000	"VARELAGER"	"Overskrift"			
24100	"Varelager primo"	"Status"			
24200	"Varelager tilgang Indland"	"Status"			
24300	"Varelager tilgang EU"	"Status"			
24400	"Varelager tilgang andre lande"	"Status"			
24500	"Varelager afgang"	"Status"			
24600	"Lagerregulering"	"Status"			
24699	"VARELAGER I ALT"	"Total"	24000		
25000	"TILGODEHAVENDER"	"Overskrift"			
25100	"Debitorer"	"Status"			
25200	"Øvrige tilgodehavender"	"Status"			
25900	"Periodeafgrænsning"	"Status"			
25999	"TILGODEHAVENDER I ALT"	"Total"	25000		
26000	"LIKVIDE BEHOLDNINGER"	"Overskrift"			
26100	"Kasse"	"Status"			
26200	"Bank"	"Status"			
26300	"Giro"	"Status"			
26400	"Bankkonto USD"	"Status"			
26500	"Bankkonto EUR"	"Status"			
26999	"LIKVIDE MIDLER I ALT"	"Total"	26000		
27000	"OMSÆTNINGSAKTIVER I ALT"	"Total"	24000		
29999	"AKTIVER I ALT"	"Total"	20000		
30000	"PASSIVER"	"Hovedoverskrift"			
30001	"EGENKAPITAL"	"Overskrift"			
30100	"Egenkapital primo"	"Status"			
30200	"Overført resultat indev. år"	"Status"			
30900	"Hævet privat"	"Status"			
30999	"EGENKAPITAL ULTIMO"	"Total"	30001		
31000	"LANGFRISTET GÆLD"	"Overskrift"			
31100	"Lån"	"Status"			
31999	"LANGFRISTET GÆLD I ALT"	"Total"	31000		
32000	"GÆLD PENGEINSTITUT"	"Overskrift"			
32100	"Kassekredit"	"Status"			
32999	"GÆLD PENGEINSTITUT I ALT"	"Total"	32000		
33000	"MOMS"	"Overskrift"			
33100	"Udgående moms (salgsmoms)"	"Status"			
33200	"Indgående moms (købsmoms)"	"Status"			
33300	"Moms af varekøb i udland"	"Status"			
33400	"Olieafgift"	"Status"			
33500	"CO2-afgift"	"Status"			
33600	"Vandafgift"	"Status"			
33700	"El afgift"	"Status"			
33900	"Momsafregning"	"Status"			
33997	"MOMS I ALT"	"Total"	33000		
34000	"KREDITORER"	"Overskrift"			
34100	"Kreditorer"	"Status"			
34200	"Skyldige omkostninger"	"Status"			
34997	"KREDITORER I ALT"	"Total"	34000		
35799	"KORTFRISTET GÆLD I ALT"	"Total"	32000		
35899	"GÆLD I ALT"	"Total"	31000		
39995	"Systemkonto"	"Status"			
39998	"PASSIVER I ALT"	"Total"	30000		
39999	"KONSOLIDERING"	"Total"	10000		
