"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Afhængigt af koden i D/K vil der være tale om en debitor-, Kreditor- eller Finanskonto","Afhængigt af koden i D/K vil der være tale om en debitor-, Kreditor- eller Finanskonto","Depending on the code in the D / K will be a customer, vendor or Financial Account","Je nach dem Code in der D / K wird ein Kunde, Lieferant oder Finanzkonto sein","Selon le code dans le D / K sera un client, fournisseur ou compte financier","D / K kod bağlı bir müşteri, satıcı veya Finans Hesabı olacak","Dependiendo del código en el D / K será un cliente, proveedor o cuenta financiera","In base al codice della D / K sarà un cliente, fornitore o conto finanziario",
"@Afmærk dette felt for at tillade negativ lagerbeholdning.","Afmærk dette felt for at tillade negativ lagerbeholdning.","Check this box to allow negative inventory.","Markieren Sie dieses Feld negativ Inventar zu ermöglichen.","Cochez cette case pour permettre l'inventaire négatif.","Negatif envanter izin vermek için bu kutuyu işaretleyin.","Marque esta casilla para permitir que el inventario negativo.","Seleziona questa casella per consentire l'inventario negativo.",
"@Afmærk her når varen/ydelsen er afsendt","Afmærk her når varen/ydelsen er afsendt","Mark here when the product / service has been shipped","Mark hier, wenn das Produkt / Service wurde ausgeliefert","Mark ici quand le produit / service a été expédié","Burada Mark ürün / hizmet sevk edildiğinde","Marca aquí cuando el producto / servicio que se haya enviado","Mark qui quando il prodotto / servizio è stato spedito",
"@Afmærk her, hvis kriterier skal genbruges.","Afmærk her, hvis kriterier skal genbruges.","Mark here, if the criteria must be recycled.","Markieren Sie hier, wenn die Kriterien müssen recycelt werden.","Marquez ici, si les critères doivent être recyclés.","kriterler geri dönüşümlü gerekiyorsa, burada işaretleyin.","Marque aquí, si se deben reciclar los criterios.","Segnare qui, se i criteri devono essere riciclate.",
"@Afmærk her, hvis lagerbevægelser skal medtages.","Afmærk her, hvis lagerbevægelser skal medtages.","Mark here if stock movements must be included.","Markieren Sie hier, wenn Lagerbewegungen müssen enthalten sein.","Marquez ici si les mouvements de stock doivent être inclus.","stok hareketleri dahil edilmelidir burada işaretleyin.","Marque aquí si los movimientos de valores deben ser incluidos.","Segnare qui se devono essere inclusi i movimenti di magazzino.",
"@Afmærk her, hvis leverings adresse er den samme som faktura adresse","Afmærk her, hvis leverings adresse er den samme som faktura adresse","Mark here if delivery address is the same as invoice address","Mark hier, wenn Lieferadresse ist die gleiche wie Rechnungsadresse","Mark ici si l'adresse de livraison est la même que l'adresse de facturation","Mark burada teslimat adresi, fatura adresi ile aynı ise","Marcar aquí si la dirección de entrega es la misma que la dirección de facturación","Mark qui se l'indirizzo di consegna è lo stesso indirizzo di fatturazione",
"@Afmærkes dette felt bliver det muligt at ændre prisen på bundlinjen i en salgsordre og der bliver givet en samlet rabat, som ved bogføring fordeles på de enkelte varer.","Afmærkes dette felt bliver det muligt at ændre prisen på bundlinjen i en salgsordre og der bliver givet en samlet rabat, som ved bogføring fordeles på de enkelte varer.","Mark this field, it becomes possible to change the price at the bottom line of a sales order and being given a total discount that the inclusion allocated to individual items.","Markieren Sie dieses Feld, wird es möglich, den Preis in der unteren Zeile eines Kundenauftrags zu ändern und einen Gesamtrabatt gegeben wird, dass die Aufnahme einzelner Positionen zugeordnet.","Marquer ce champ, il devient possible de changer le prix à la ligne inférieure d'un ordre de vente et étant donné une remise totale que l'inclusion affectée à des postes individuels.","Mark bu alan, bir satış sipariş alt satırında fiyatını değiştirmek mümkün olur ve içerme ürüne tahsis edilen toplam indirim veriliyor.","Marque este campo, se hace posible cambiar el precio en la línea de fondo de un pedido de cliente y se le da un descuento total que la inclusión asignado a los elementos individuales.","Segna questo campo, diventa possibile modificare il prezzo la linea di fondo di un ordine di vendita e di essere dato uno sconto totale che l'inclusione imputati alle singole voci.",
"@Afmærkes dette felt vil der komme en advarsel, hvis der indsættes varer, som ikke kan leveres, på en kundeordre.","Afmærkes dette felt vil der komme en advarsel, hvis der indsættes varer, som ikke kan leveres, på en kundeordre.","Mark this field will get a warning if inserted goods can not be delivered to a customer order.","Markieren Sie dieses Feld wird eine Warnung erhalten, wenn eingefügt Ware nicht zu einem Kundenauftrag geliefert werden.","Marquer ce champ sera un avertissement si les marchandises introduites ne peuvent pas être livrés à une commande client.","eklenen ürünler müşteri sipariş teslim edilememesi halinde Mark bu alan bir uyarı alırsınız.","Marque este campo recibirá una advertencia si los productos insertados no pueden ser entregados a un pedido del cliente.","Segna questo campo otterrà un avviso se le merci inseriti non possono essere consegnati a un ordine del cliente.",
"@Afmærkes her, kommer et ekstra felt på kundeordrer til procentfakturering af vareværdien. Bruges f.eks ved udlejning af materiel.","Afmærkes her, kommer et ekstra felt på kundeordrer til procentfakturering af vareværdien. Bruges f.eks ved udlejning af materiel.","Marked here comes an additional field of customer orders to billing percent of product value. Used for example by hiring of equipment.","So bezeichnete hier kommt ein weiteres Feld der Kundenaufträge zu Abrechnungs Prozent des Warenwertes. Verwendet zum Beispiel von der Ausrüstung zu mieten.","Marqué voici un champ supplémentaire des commandes des clients à la facturation pour cent de la valeur du produit. Utilisé par exemple par l'embauche d'équipement.","Ürün değerinin fatura yüzde müşteri siparişleri ek bir alan buraya gelir işaretlenmiş. donanımları kiralama, örneğin kullanılır.","aquí viene marcado un campo adicional de pedidos de clientes a la facturación por ciento del valor del producto. Se utiliza, por ejemplo, mediante la contratación de equipos.","Contrassegnato ecco che arriva un ulteriore campo degli ordini dei clienti alla fatturazione per cento del valore del prodotto. Utilizzato per esempio l'assunzione di attrezzature.",
"@Afsendt","Afsendt","Posted","Eingestellt","Publié","Yayınlanan","Publicado","Pubblicato",
"@Afstand mellem liniers grundlinie, målt i mm. ","Afstand mellem liniers grundlinie, målt i mm. ","Distance between the lines of the baseline, measured in millimeters. ","Abstand zwischen den Linien der Basislinie, in Millimeter gemessen. ","La distance entre les lignes de la ligne de base, mesurée en millimètres. ","taban çizgileri arasındaki mesafe, milimetre cinsinden ölçülür. ","Distancia entre las líneas de la línea de base, mide en milímetros. ","Distanza tra le righe della linea base, misurato in millimetri. ",
"@Aftale","Aftale","Appointment","Vereinbarung","accord","anlaşma","acuerdo","accordo",
"@Aktiv databaseadministrator","Aktiv databaseadministrator","Active database administrator","Aktive Datenbankadministrator","administrateur de base de données Active","Aktif veritabanı yöneticisi","administrador de la base de datos activa","amministratore del database attivo",
"@Aktiv","Aktiv","Active","Aktiv","Aktiv","Aktiv","Aktiv","Aktiv",
"@Aktiv...","Aktiv...","Active...","Aktive ...","Active ...","Aktif ...","Activa ...","Attiva ...",
"@Aktiver valget","Aktiver valget","Enable choice","Aktivieren Wahl","Activer le choix","seçim etkinleştirme","Habilitar opción","Attiva scelta",
"@Aktivering af tilvalg","Aktivering af tilvalg","Enabling option","Aktivieren der Option","Option Activation","seçeneğin etkinleştirilmesi","opción que permite","L'attivazione dell'opzione",
"@Aktuel kurs...","Aktuel kurs...","Current price ...","Aktueller Preis ...","Prix ​​actuel ...","Geçerli fiyat ...","Precio actual ...","Prezzo corrente ...",
"@Aktuel","Aktuel","Current","Strom","actuel","akım","actual","attuale",
"@Aktuelle beløb. (Årets ultimo beløb)","Aktuelle beløb. (Årets ultimo beløb)","Current amount. (The year end amounts)","Aktuelle Menge. (Jahresende beträgt)","Montant actuel. (La fin de l'année revient)","Güncel tutar. (Yıl sonu tutarları)","cantidad actual. (El fin de año asciende)","quantità di corrente. (La fine anno ammonta)",
"@Aktuelt sprog: ","Aktuelt sprog: ","Current language: ","Aktuelle Sprache: ","Langue actuelle: ","Geçerli dil: ","Lenguaje actual: ","lingua corrente: ",
"@Alle andre mapper skal være skrivebeskyttet!","Alle andre mapper skal være skrivebeskyttet!","All other folders must be writable!","Alle anderen Ordner müssen beschreibbar sein!","Tous les autres dossiers doivent être inscriptible!","Diğer tüm klasörler yazılabilir olmalı!","Todas las demás carpetas deben tener permisos de escritura!","Tutte le altre cartelle devono essere scrivibili!",
"@Alle sider","Alle sider","all pages","Alle Seiten","toutes les pages","tüm sayfalar","todas las páginas","tutte le pagine",
"@Alle","Alle","All","alle","tous","tüm","todos","tutto",
"@Alternativ SMTP-Server:Port","Alternativ SMTP-Server:Port","Alternative SMTP Server: Port","Alternative SMTP Server: Port","Alternative Serveur SMTP: Port","Alternatif SMTP Sunucusu: Port","Alternativa Servidor SMTP: Puerto","Alternativa server SMTP: Port",
"@Alternativt","Alternativt","Alternatively","Alternativ","sinon","alternatif olarak","alternativamente","In alternativa",
"@Anbruds kostpris","Anbruds kostpris","tamper cost","manipulations~~POS=TRUNC","coût de sabotage","sabotaj maliyet","coste de manipulación","costo manomissione",
"@Angiv ","Angiv ","Specify ","angeben ","spécifier ","belirtmek ","especificar ","specificare ",
"@Angiv Adgangskoden svarende til Brugernavnet","Angiv Adgangskoden svarende til Brugernavnet","Enter the password corresponding to the user name","Geben Sie das Kennwort für den Benutzernamen entspricht,","Entrez le mot de passe correspondant au nom d'utilisateur","kullanıcı adına karşılık gelen şifreyi girin","Introduzca la contraseña correspondiente al nombre de usuario","Inserire la password corrispondente al nome utente",
"@Angiv Antal","Angiv Antal","Enter Number","Nummer eingeben","Entrez le numéro","Numarasını girin","introducir número","Inserisci numero",
"@Angiv Bemærkninger","Angiv Bemærkninger","Enter Comments","Geben Sie Kommentare","Entrez Commentaires","Yorumlar girmek","introducir comentarios","Inserisci commenti",
"@Angiv Beskrivelse","Angiv Beskrivelse","Enter Description","Geben Sie Beschreibung","Entrez description","Açıklama girin","Introduzca Descripción","Inserisci Descrizione",
"@Angiv E-mail","Angiv E-mail","Enter E-mail","Geben Sie E-Mail","Entrez E-mail","E-mail adresinizi girin","Introduzca su correo","Inserisci e-mail",
"@Angiv Faktura Adresse","Angiv Faktura Adresse","Enter Invoice Address","Geben Sie Rechnungsadresse","Entrez Adresse de facturation","Fatura Adresini girin","Registrar factura Dirección","Inserire fattura Indirizzo",
"@Angiv Faktura Kunde Bynavn","Angiv Faktura Kunde Bynavn","Enter Invoice Customer City Name","Geben Sie Rechnung Kunde Stadt Name","Saisir facture Ville Nom du client","Fatura Müşteri Şehir Adını Girin","Registrar factura al cliente Nombre de la ciudad","Inserire fattura Città Clienti Nome",
"@Angiv Faktura Kunde Land","Angiv Faktura Kunde Land","Enter Invoice Customer Country","Geben Sie Land-Rechnung Kunden","Saisir facture client Pays","Fatura Müşteri Ülke girin","Registrar factura al cliente País","Inserire fattura Paese clienti",
"@Angiv Faktura Kunde Sted","Angiv Faktura Kunde Sted","Enter Invoice Customer Location","Geben Sie Rechnung Kunde Ort","Saisir facture client Localisation","Fatura Müşteri Konumu girin","Registrar factura al cliente Localización","Inserire fattura Località clienti",
"@Angiv Faktura Kunde postnr","Angiv Faktura Kunde postnr","Enter Invoice Company postcode","Geben Sie Rechnung Firma Postleitzahl","Entrez code postal facture Société","Fatura Firma posta kodu girin","Ingrese el código postal de la factura de la empresa","Inserire fattura società Cap",
"@Angiv Forsendelses oplysninger","Angiv Forsendelses oplysninger","Enter Shipping Information","Geben Sie Versandinformationen","Entrez Information Livraison","Kargo Bilgilerini Girin","Introducir la información de envío","Inserisci Informazioni Spedizioni",
"@Angiv Kontakt person","Angiv Kontakt person","Enter Contact person","Geben Sie Ansprechpartner","Entrez Personne de contact","İletişim kişiyi girin","Introduzca Persona de contacto","Inserisci Persona di contatto",
"@Angiv Kontaktpersons Navn","Angiv Kontaktpersons Navn","Enter Contact Person's Name","Geben Sie Kontaktperson Name","Entrez le nom de la personne-ressource","İletişim Kişinin Adını Girin","Introducir el nombre de la persona de contacto","Inserire il nome di Contatto",
"@Angiv Kunde Attention","Angiv Kunde Attention","Enter Customer Attention","Geben Sie die Aufmerksamkeit der Kunden","Entrez client Attention","Müşteri Dikkat girin","Introduzca Atención al cliente","Inserisci Attenzione al Cliente",
"@Angiv Kunde Email adresse","Angiv Kunde Email adresse","Enter Customer Email","Geben Sie Kunden per E-Mail","Entrez client Email","Müşteri E-posta girin","Introduzca cliente de correo electrónico","Inserisci clienti E-mail",
"@Angiv Kunde Navn","Angiv Kunde Navn","Enter Company Name","Geben Sie Name des Unternehmens","Entrez Nom de l'entreprise","Şirket Adını Girin","Introducir el nombre de la empresa","Inserisci Nome azienda",
"@Angiv Kunde Telefon","Angiv Kunde Telefon","Enter Company Phone","Geben Sie Unternehmen Telefon","Entrez Société Téléphone","Şirket Telefon girmek","Introduzca Empresa Teléfono","Inserisci Azienda Telefono",
"@Angiv Leverings Adresse","Angiv Leverings Adresse","Enter Delivery Address","Geben Sie Lieferadresse","Entrez l'adresse de livraison","Teslim Adresi girin","Introduzca la dirección de entrega","Inserisci Indirizzo di consegna",
"@Angiv Leverings Kunde postnr","Angiv Leverings Kunde postnr","Enter Delivery Company postcode","Geben Sie Lieferung Firma Postleitzahl","Entrer le code postale Livraison Société","Teslimat Firma posta kodu girin","Ingrese el código postal de entrega de la empresa","Inserisci Delivery Company Cap",
"@Angiv Leverings Land","Angiv Leverings Land","Enter Delivery Country","Geben Sie Lieferung Land","Entrez Pays de livraison","Teslimat Ülke girin","Introduzca entrega del país","Inserisci consegna Paese",
"@Angiv Leverings Sted","Angiv Leverings Sted","Enter Delivery Location","Geben Sie Zustellstandorte","Entrez Lieu de livraison","Teslim Yeri Girin","Introduzca la ubicación de entrega","Inserisci Consegna Location",
"@Angiv Leveringsstedets Bynavn","Angiv Leveringsstedets Bynavn","Enter Delivery Stedets City Name","Geben Sie Lieferung Stedets Stadt Name","Entrez le nom Livraison Stedets Ville","Teslim Stedets Şehir Adını Girin","Introducir el nombre de la ciudad de entrega Stedets","Inserire nome consegna Stedets Città",
"@Angiv Mail emne","Angiv Mail emne","Enter Mail topic","Geben Sie E-Mail Thema","Entrez le sujet du courrier","Posta konuyu girin","Introduzca tema del correo","Inserisci argomento posta",
"@Angiv Mail tekst","Angiv Mail tekst","Enter Mail text","Geben Sie Mail-Text","Entrez le texte du courrier","Posta metni girin","Introduzca el texto del correo","Inserire il testo di posta",
"@Angiv Mobilnr.","Angiv Mobilnr.","Enter Mobile.","Geben Sie Mobile.","Entrez Mobile.","Mobile girin.","Introduzca móvil.","Inserisci Mobile.",
"@Angiv Modtager Navn","Angiv Modtager Navn","Enter Recipient Name","Geben Sie Name des Empfängers","Entrez le nom du bénéficiaire","Alıcı Adı girin","Ingrese Nombre del destinatario","Inserire nome del destinatario",
"@Angiv Modtagers Email adresse","Angiv Modtagers Email adresse","Enter Recipient's Email","Geben Sie des Empfängers E-Mail","Entrez Courriel du destinataire","Alıcının E-posta girin","Introducir e-mail del destinatario","Inserisci e-mail del destinatario",
"@Angiv Modtagers Telefon","Angiv Modtagers Telefon","Enter Recipient Phone","Empfänger eingeben Telefon","Entrez téléphone du destinataire","Alıcı Telefon girmek","Introduzca teléfono del destinatario","Inserisci destinatario Phone",
"@Angiv Noter til fragtmand","Angiv Noter til fragtmand","Enter Notes to the carrier","Geben Sie Hinweise auf den Träger","Entrez Notes sur le support","taşıyıcıya Notlar girin","Notas entrará al transportista","Inserire le note al vettore",
"@Angiv Telefon","Angiv Telefon","Enter Phone","Geben Sie Telefon","Entrez téléphone","Telefon girmek","Introduzca Teléfono","Inserisci Phone",
"@Angiv Vedhæftet fil","Angiv Vedhæftet fil","Enter Attachment","Geben Sie Befestigung","Entrez Attachment","Ek girin","Introduzca el Adjunto","Inserisci Allegato",
"@Angiv beskrivelse af ydelsen","Angiv beskrivelse af ydelsen","Enter description of the service","Geben Sie eine Beschreibung des Service","Entrez la description du service","hizmetin açıklamasını girin","Introduzca descripción del servicio","Inserisci descrizione del servizio",
"@Angiv din tekst...","Angiv din tekst...","Enter your text ...","Geben Sie Ihren Text ...","Entrez votre texte ...","Metninizi girin ...","Introduzca el texto ...","Inserisci il testo ...",
"@Angiv dit","Angiv dit","Enter your","Geben Sie Ihre","Entrez votre","girin","Introduzca su","Inserisci il tuo",
"@Angiv en +/- pct-sats, som der skal justeres op/ned med","Angiv en +/- pct-sats, som der skal justeres op/ned med","Specify a +/- percentage-rate to be adjusted up / down","eine +/- Prozentrate Geben Sie oben angepasst werden / ab","Spécifiez un pourcentage de taux +/- pour être ajusté vers le haut / bas","Bir +/- yüzdesi oranını belirtin yukarı / aşağı ayarlanmasına","Especificar un porcentaje +/- para ajustar hacia arriba / abajo","Specificare una percentuale a tasso +/- da regolare su / giù",
"@Angiv en dato eller angiv to adskilt af kolon (f.eks 010605:300605)","Angiv en dato eller angiv to adskilt af kolon (f.eks 010605:300605)","Enter a date or specify two separated by a colon (eg 010605, 300605)","Geben Sie ein Datum oder zwei durch einen Doppelpunkt getrennt angeben (zB 010605, 300605)","Entrez une date ou spécifier deux séparés par deux points (par exemple, 010605, 300605)","Bir tarih girin veya iki nokta üst üste ayrılmış iki belirtin (örneğin 010.605, 300.605)","Introduzca una fecha o especificar dos separados por dos puntos (por ejemplo, 010605, 300605)","Inserire una data o specificare due separati da due punti (ad esempio, 010.605, 300.605)",
"@Angiv en søgetekst. Der kan anvendes * før og efter teksten","Angiv en søgetekst. Der kan anvendes * før og efter teksten","Enter a search text. * Which can be used before and after the text","Geben Sie einen Suchbegriff ein. * Die vor und nach dem Text verwendet werden können,","Saisissez un texte de recherche. * Qui peut être utilisé avant et après le texte","bir arama metni girin. * Önce ve sonra metni kullanılabilir","Introduzca un texto de búsqueda. * Que se pueden utilizar antes y después del texto","Inserisci il testo da cercare. * Che può essere utilizzato prima e dopo il testo",
"@Angiv en tekst der beskriver ...","Angiv en tekst der beskriver ...","Enter a text describing ...","Geben Sie einen Text zur Beschreibung ...","Entrez un texte décrivant ...","açıklayan bir metin girin ...","Introduzca un texto que describe ...","Inserire un testo che descrive ...",
"@Angiv en tekst der beskriver produktet","Angiv en tekst der beskriver produktet","Enter a text describing the product","Geben Sie einen Text, um ein Produkt zu beschreiben","Saisissez un texte décrivant le produit","Ürünü açıklayan bir metin girin","Introduzca un texto que describe el producto","Inserire un testo che descrive il prodotto",
"@Angiv en tekst som skal benyttes som stregkode","Angiv en tekst som skal benyttes som stregkode","Enter a text to be used as a barcode","einen Text eingeben, um als Barcode verwendet werden","Saisir un texte à utiliser comme un code à barres","Bir metni girin, bir barkod olarak kullanılmak üzere","Introduzca un texto para ser utilizado como un código de barras","Inserire un testo da utilizzare come codice a barre",
"@Angiv enhedspris","Angiv enhedspris","Enter unit price","Geben Sie den Stückpreis","Entrez le prix unitaire","birim fiyatını girin","Introduzca precio unitario","Inserisci prezzo unitario",
"@Angiv et beløb eller angiv to adskilt af kolon (f.eks 10000,00:14999,99)","Angiv et beløb eller angiv to adskilt af kolon (f.eks 10000,00:14999,99)","Enter an amount or enter the two separated by a colon (eg, 10000.00, 14999.99)","Geben Sie einen Betrag oder geben Sie die beiden getrennt durch einen Doppelpunkt (zB 10.000,00, 14.999,99)","Entrez un montant ou entrer les deux séparés par deux points (par exemple, 10000.00, 14.999,99)","bir miktar girin veya iki nokta üst üste ayrılmış iki girin (örneğin, 10000.00, 14.999,99)","Introduzca un importe o introduzca los dos separados por dos puntos (por ejemplo, 10000.00, 14999.99)","Inserisci un importo o immettere i due separati da due punti (ad esempio, 10000.00, 14.999,99)",
"@Angiv et bilagsnummer eller angiv to adskilt af kolon (f.eks 345:350)","Angiv et bilagsnummer eller angiv to adskilt af kolon (f.eks 345:350)","Enter a document number or enter the two separated by a colon (eg 345: 350)","Geben Sie eine Dokumentnummer oder geben Sie die beiden getrennt durch einen Doppelpunkt (zB 345: 350)","Entrez un numéro de document ou entrer les deux séparés par deux points (par exemple, 345: 350)","Bir belge numarasını girin veya iki nokta üst üste ayrılmış iki girin (örneğin 345: 350)","Introduzca un número de documento o introduzca los dos separados por dos puntos (por ejemplo, 345: 350)","Inserire un numero di documento o inserire i due separati da due punti (ad esempio, 345: 350)",
