"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Afmærk her for at finansbogføre hver handel separat. Hvis der ikke er afmærket, foretages bogføring samlet ved kasseoptælling.","Afmærk her for at finansbogføre hver handel separat. Hvis der ikke er afmærket, foretages bogføring samlet ved kasseoptælling.","Mark here to finansbogføre each trade separately. If there is no mark, made bookkeeping collected at the cash counting.","Markieren Sie hier, um die finansbogføre jeweils getrennt Handel. Wenn es keine Marke, aus der Buchhaltung bei Geldzählvorgang gesammelt.","Marquez ici pour finansbogføre chaque métier séparément. S'il n'y a pas de marque, fait la comptabilité recueillie lors du dépouillement de trésorerie.","ayrı ayrı ticaret finansbogføre için buraya işaretleyin. hiçbir işareti varsa, nakit sayımı toplanan muhasebe yaptı.","Zaznaczyć tu finansbogføre każdej transakcji oddzielnie. Jeśli nie ma znaku, wykonana księgowości pobieranego na liczeniu gotówki.","Marque aquí para finansbogføre cada operación por separado. Si no hay ninguna marca, hecha de contabilidad recogidos en el conteo de efectivo.","Segnare qui per finansbogføre ogni commercio separatamente. Se non vi è alcun segno, fatta contabilità raccolti al conteggio di cassa."
"@Afmærk her for at for at udskrive bon automatisk. Hvis der ikke er afmærket, skal bon udskrives manuelt efter hver handel.","Afmærk her for at for at udskrive bon automatisk. Hvis der ikke er afmærket, skal bon udskrives manuelt efter hver handel.","Mark here to bon to print automatically. If there is not marked, the receipt is printed manually after each trade.","Mark hier bon automatisch zu drucken. Wenn es nicht markiert ist, wird der Empfang manuell nach jedem Fach gedruckt.","Mark ici pour Bon pour imprimer automatiquement. S'il n'y a pas marqué, la réception est imprimée manuellement après chaque métier.","Mark burada otomatik olarak yazdırmak için bon için. Orada belirgin değilse, makbuz her ticaret sonra el yazdırılır.","Mark tutaj Bon na automatyczne drukowanie. Jeśli nie jest zaznaczone, paragon jest drukowany ręcznie po każdej transakcji.","Marca aquí para BON a imprimir automáticamente. Si no está marcado, el recibo se imprime manualmente después de cada operación.","Mark qui per bon per stampare automaticamente. Se non vi è segnato, la ricevuta viene stampato manualmente dopo ogni commercio."
"@Afmærk her for at undtrykke advarsel i kassekladden, hvis der anvendes samme bilagsnummer til flere bilag med forskellige datoer. ","Afmærk her for at undtrykke advarsel i kassekladden, hvis der anvendes samme bilagsnummer til flere bilag med forskellige datoer. ","Mark here to exclude advance warning in the journal if you use the same voucher number to multiple documents with different dates.","Mark hier Vorwarnung in der Zeitschrift ausschließen, wenn Sie die gleiche Belegnummer, um mehrere Dokumente mit unterschiedlichen Terminen verwenden.","Mark ici pour exclure avertissement préalable dans le journal si vous utilisez le même nombre de coupons à plusieurs documents avec des dates différentes.","Eğer farklı tarihler ile birden çok belge aynı fiş numarasını kullanırsanız Mark burada dergide önceden uyarı dışlamak için.","Zaznacz tutaj, aby wykluczyć wcześniejszego ostrzeżenia w dzienniku, jeśli użyć tego samego numeru vouchera do wielu dokumentów z różnych terminach.","Marca aquí para excluir la advertencia adelantada de la revista si se utiliza el mismo número de cupón en varios documentos con diferentes fechas.","Mark qui per escludere preavviso sulla rivista se si utilizza lo stesso numero di voucher a più documenti con date differenti."
"@Afmærk her for at vise knappen [Indbetaling]. Bruges til kontokunder som indbetaler til konto","Afmærk her for at vise knappen [Indbetaling]. Bruges til kontokunder som indbetaler til konto","Mark here to display the [Payment]. Used for account customers who deposit into account","Markieren Sie hier, um die [Zahlung]. Wird für die Account-Kunden, die in Konto einzahlen","Marquez ici pour afficher le [Paiement]. Utilisé pour compte des clients qui déposent en compte","[Ödeme] görüntülemek için buraya işaretleyin. hesaba yatırmak hesap müşterileri için kullanılan","Zaznaczyć tutaj, aby wyświetlić ekran [Karta]. Służy do rachunków klientów, którzy depozytu na koncie","Marque aquí para visualizar el menú [Pago]. Se utiliza para los clientes de cuentas que depositen en cuenta","Segnare qui per visualizzare il [pagamento]. Usati per conto clienti che depositano in considerazione"
"@Afmærk her for at vise knappen [Kontant på beløb]. Kan bruges ved kassesalg hvor der ikke skal beregnes returbeløb.","Afmærk her for at vise knappen [Kontant på beløb]. Kan bruges ved kassesalg hvor der ikke skal beregnes returbeløb.","Mark here to display the [Cash in the amount]. Can be used at the cash desk where calculation is not the return amount.","Markieren Sie hier, um die [Bargeld in Höhe]. Kann an der Kasse verwendet werden, wenn die Berechnung nicht die Rückgabemenge ist.","Marquez ici pour afficher le [Argent dans le montant]. Peut être utilisé à la caisse lorsque le calcul est pas le montant de retour.","[Miktarda Nakit] görüntülemek için buraya işaretleyin. hesaplama dönüş miktar değil nakit masada kullanılabilir.","Zaznaczyć tutaj, aby wyświetlić ekran [gotówce w kwocie]. Może być stosowany w kasie, gdy obliczenia nie jest kwotą powrotu.","Marque aquí para visualizar el menú [efectivo en la cantidad]. Puede ser utilizado en la caja cuando el cálculo no es la cantidad de retorno.","Segnare qui per visualizzare il [in contanti l'importo]. Può essere utilizzato presso la cassa in cui calcolo non è la quantità di ritorno."
"@Afmærk her for at vise knappen [Kontoopslag]. Bruges ved kassesalg til kontokunder","Afmærk her for at vise knappen [Kontoopslag]. Bruges ved kassesalg til kontokunder","Mark here to display the [Account Lookup]. Used for cash sales to account customers","Markieren Sie hier, um die [Account Lookup]. Wird für Barverkauf zu Account-Kunden","Marquez ici pour afficher le [compte Lookup]. Utilisé pour les ventes au comptant à compte clients","[Hesap Arama] görüntülemek için buraya işaretleyin. Hesap müşterilere nakit satışları için kullanılan","Zaznaczyć tutaj, aby wyświetlić ekran [Account Lookup]. Służy do sprzedaży gotówkowych klientom konta","Marque aquí para visualizar el menú [búsqueda de cuenta]. Se utiliza para las ventas en efectivo a la cuenta de clientes","Segnare qui per visualizzare il [Lookup account]. Utilizzato per le vendite in denaro sul conto clienti"
"@Afmærk her hvis brugeren er skal have administratorrettigheder","Afmærk her hvis brugeren er skal have administratorrettigheder","Mark here if the user has Administrator privileges","Hier markieren, wenn der Benutzer über Administratorrechte","Mark ici si l'utilisateur dispose des privilèges d'administrateur","Mark burada kullanıcı yönetici ayrıcalıklarına sahip olup olmadığını","Zaznacz tutaj, jeśli użytkownik ma uprawnienia administratora","Marcar aquí si el usuario tiene privilegios de administrador","Mark qui se l'utente ha privilegi di amministratore"
"@Afmærk her hvis brugeren er skal kunne oprette regnskaber og efterfølgende have adgang til disse","Afmærk her hvis brugeren er skal kunne oprette regnskaber og efterfølgende have adgang til disse","Mark here if the user is to be able to create accounts and then have access to these","Mark hier, wenn der Benutzer in der Lage sein Konten zu schaffen und dann den Zugriff auf diese haben","Mark ici si l'utilisateur doit être en mesure de créer des comptes et d'avoir accès à ces","Mark burada kullanıcı hesapları oluşturmak ve daha sonra bu erişimi mümkün olup olmadığını","Zaznacz tutaj, jeśli użytkownik ma mieć możliwość tworzenia kont, a następnie uzyskać dostęp do nich","Marcar aquí si el usuario es capaz de crear cuentas y luego tener acceso a estos","Mark qui se l'utente è in grado di creare account e quindi avere accesso a questi"
"@Afmærk her hvis brugeren er skal kunne slette de regnskaber, denne har adgang til","Afmærk her hvis brugeren er skal kunne slette de regnskaber, denne har adgang til","Mark here if the user is to be able to delete the accounts that have access to","Hier markieren, wenn der Benutzer in der Lage sein, die Konten zu löschen, die Zugang zu","Mark ici si l'utilisateur doit être en mesure de supprimer les comptes qui ont accès à","Mark burada kullanıcı erişimi hesapları silme edebilmek için ise","Zaznacz tutaj, jeśli użytkownik jest w stanie usunąć konta, które mają dostęp do","Marcar aquí si el usuario es capaz de eliminar las cuentas que tienen acceso a","Mark qui se l'utente è in grado di eliminare gli account che hanno accesso a"
"@Afmærk her hvis din søgning skal huskes","Afmærk her hvis din søgning skal huskes","Mark here if your search must be remembered","Mark hier, wenn Sie Ihre Suche ist zu beachten,","Mark ici si votre recherche doit se rappeler","Mark burada arama akılda tutulmalıdır eğer","Zaznacz tutaj, jeśli wyszukiwanie należy pamiętać","Marcar aquí si la búsqueda debe recordarse","Mark qui se la ricerca deve essere ricordato"
"@Afmærk her hvis du har en ftp-konto hos ebConnect og ønsker at kunne sende OIOUBL-fakturaer direkte til modtager.","Afmærk her hvis du har en ftp-konto hos ebConnect og ønsker at kunne sende OIOUBL-fakturaer direkte til modtager.","Mark here if you have an ftp account with ebConnect and want to send OIOUBL-invoices directly to the recipient.","Mark hier, wenn Sie einen FTP-Account mit ebConnect und wollen OIOUBL-Rechnungen direkt an den Empfänger zu senden.","Mark ici si vous avez un compte ftp avec ebConnect et souhaitez envoyer OIOUBL factures directement au destinataire.","Işaretleyin ebConnect ile bir ftp hesabınız varsa ve doğrudan alıcıya OIOUBL-fatura göndermek istediğiniz burada eğer.","Zaznacz tutaj, jeśli masz konto FTP z ebConnect i chcesz wysłać OIOUBL faktur bezpośrednio do odbiorcy.","Marcar aquí si tiene una cuenta FTP con ebConnect y desea enviar OIOUBL facturas directamente al destinatario.","Mark qui se si dispone di un account FTP ebConnect e desidera inviare OIOUBL fatture direttamente al destinatario."
